danceability,energy,valence,tempo,loudness,acousticness,speechiness,instrumentalness,mood
0.502,0.798,0.307,126.976,-5.909,0.00291,0.0414,1.11e-05,Energetic
0.633,0.684,0.725,209.688,-4.314,0.314,0.591,8.95e-05,Happy
0.665,0.351,0.451,87.057,-9.424,0.516,0.0276,0.819,Calm
0.539,0.521,0.679,106.035,-7.46,0.00425,0.0299,0.0,Calm
0.823,0.544,0.826,121.968,-10.077,0.389,0.0358,0.165,Calm
0.615,0.658,0.293,150.093,-7.299,0.096,0.0343,0.000911,Calm
0.781,0.501,0.961,134.014,-9.767,0.66,0.0333,3.78e-06,Calm
0.668,0.501,0.858,87.086,-13.119,0.342,0.0629,0.0,Calm
0.606,0.361,0.621,121.059,-16.031,0.264,0.0346,3.39e-05,Calm
0.363,0.361,0.612,187.711,-14.398,0.623,0.0499,0.00119,Calm
0.434,0.586,0.239,78.259,-7.612,0.753,0.138,0.0144,Calm
0.545,0.545,0.549,159.94,-7.362,0.667,0.107,5.48e-05,Calm
0.524,0.364,0.436,75.24,-10.209,0.808,0.0367,0.0,Calm
0.662,0.507,0.676,86.412,-8.238,0.257,0.118,0.0,Calm
0.684,0.607,0.498,81.001,-8.127,0.0267,0.1,0.000307,Calm
0.559,0.551,0.392,143.008,-7.231,0.141,0.132,0.0,Calm
0.609,0.444,0.166,118.402,-9.129,0.603,0.106,6.86e-06,Sad
0.689,0.394,0.382,117.489,-10.102,0.711,0.065,0.000905,Sad
0.911,0.551,0.969,92.887,-3.75,0.133,0.045,4.35e-05,Calm
0.662,0.693,0.655,86.009,-4.298,0.134,0.0698,0.0,Calm
